"","length","GCcomp","trans_tbl","circular","CRISPR_hit","Genus","Species","Health_status","Location","tRNA_freq","tmRNA_freq","Study","Habitat","family","nomen_family","nomen_subfamily","nomen_genus","nomen_species","type_strain","clusters_ward","clusters_pam","orthologs_shared_clusters","ani_clusters"
"err589590_node_72_length_96711_cov_28.1345",96711,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,2,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12
"err589595_node_199_length_96043_cov_11.5603",96043,0.322,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36
"err589736_node_224_length_101034_cov_15.6328",101034,0.375,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,23,0,"Tong_etal_2020","Human oral","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","oralis",FALSE,6,9,40,85
"err589736_node_271_length_93891_cov_9.13972",93891,0.335,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589737_node_227_length_97168_cov_1455.68",97168,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589737_node_250_length_92638_cov_199.421",92638,0.316,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589741_node_169_length_97150_cov_107.747",97150,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589742_node_186_length_98834_cov_12.9141",98834,0.335,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"err589742_node_210_length_93989_cov_9.62045",93989,0.334,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589742_node_219_length_92594_cov_6.88142",92594,0.317,11,TRUE,"Alistipes_finegoldii","Alistipes","finegoldii",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589746_node_110_length_100335_cov_36.0815",100335,0.329,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"err589748_node_153_length_93284_cov_4.95169",93284,0.31,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Drivevirus","gastrointestinalis",FALSE,3,3,27,91
"err589750_node_144_length_100756_cov_12.0751",100756,0.33,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"err589750_node_148_length_99248_cov_188.387",99248,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589762_node_119_length_102762_cov_954.227",102762,0.333,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",FALSE,7,7,8,16
"err589770_node_113_length_99553_cov_1902.21",99553,0.329,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"err589773_node_168_length_99796_cov_16.6781",99796,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,2,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12
"err589773_node_178_length_95143_cov_627.55",95143,0.293,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589774_node_217_length_97586_cov_21.2143",97586,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589777_node_213_length_102559_cov_114.718",102559,0.313,15,TRUE,"Bacteroides_vulgatus","Bacteroides","vulgatus",NA,NA,2,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12
"err589786_node_135_length_99040_cov_1290.66",99040,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589788_node_122_length_95274_cov_10.0565",95274,0.335,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589797_node_176_length_100385_cov_85.2729",100385,0.375,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,17,0,"Tong_etal_2020","Human oral","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","oralis",FALSE,6,9,40,85
"err589800_node_173_length_93705_cov_28.9131",93705,0.329,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589801_node_173_length_98624_cov_58.2029",98624,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589804_node_183_length_96082_cov_14.9851",96082,0.327,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589807_node_175_length_98624_cov_2094.64",98624,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589811_node_183_length_95797_cov_1140.66",95797,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589813_node_178_length_98616_cov_51.5115",98616,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589814_node_185_length_102005_cov_6.51113",102005,0.331,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",FALSE,7,7,8,16
"err589817_node_85_length_101984_cov_21.9381",101984,0.334,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","faecalis",FALSE,10,8,22,77
"err589818_node_123_length_100672_cov_68.5318",100672,0.33,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"err589821_node_65_length_97126_cov_5571.81",97126,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589826_node_104_length_99479_cov_523.136",99479,0.29,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589826_node_120_length_94996_cov_27.1679",94996,0.33,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589826_node_133_length_91808_cov_9.52867",91808,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589827_node_122_length_98326_cov_41.0203",98326,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589835_node_174_length_96977_cov_65.8124",96977,0.313,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,2,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12
"err589835_node_192_length_92466_cov_11.6977",92466,0.316,11,TRUE,"Alistipes_finegoldii","Alistipes","finegoldii",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589836_node_124_length_100491_cov_5.94573",100491,0.375,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,16,0,"Tong_etal_2020","Human oral","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","oralis",FALSE,6,9,40,85
"err589836_node_132_length_97990_cov_15.6475",97990,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589843_node_134_length_102073_cov_9.78706",102073,0.337,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"err589848_node_158_length_99263_cov_37.5295",99263,0.329,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"err589848_node_206_length_90462_cov_52.7397",90462,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589851_node_110_length_101537_cov_76.3839",101537,0.375,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,22,0,"Tong_etal_2020","Human oral","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","oralis",FALSE,6,9,40,85
"err589852_node_269_length_93435_cov_9.78746",93435,0.335,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589853_node_110_length_92253_cov_12.0089",92253,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589856_node_160_length_99420_cov_996.622",99420,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,2,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12
"err589861_node_167_length_96714_cov_11.2032",96714,0.322,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36
"err589874_node_149_length_91639_cov_83.8167",91639,0.266,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",FALSE,3,3,26,9
"err843931_ms_1",94475,0.322,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","IBD","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","secundus",FALSE,4,13,36,98
"err843936_ms_1",92913,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err843949_ms_1",99735,0.32,11,TRUE,"Bacteroides_helcogenes","Bacteroides","helcogenes","Healthy","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Culoivirus","intestinalis",FALSE,10,8,21,55
"err843949_ms_3",92352,0.315,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",4,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Diorhovirus","copri",FALSE,3,3,25,49
"err843983_ms_1",98411,0.29,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","IBD","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err844006_ms_1",94558,0.289,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","IBD","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","hominis",FALSE,1,2,23,99
"err844016_ms_1",100408,0.329,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","USA",3,0,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus","americanus",FALSE,7,7,9,53
"err844018_ms_1",95525,0.293,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err844018_ms_3",89735,0.267,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",FALSE,3,3,26,9
"err844025_ms_1",96790,0.322,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Culoivirus","intestinalis",FALSE,10,8,21,55
"err844029_ms_3",97537,0.378,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",22,0,"Norman_etal_2015","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","oralis",FALSE,6,9,40,85
"err844030_ms_1",100426,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","Healthy","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"err844035_ms_1",101538,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","Healthy","USA",1,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"err844045_ms_1",98332,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err844047_ms_3",96499,0.327,15,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"err844070_ms_2",104338,0.358,15,TRUE,"Unknown","Unknown","Unknown","IBD","USA",3,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","coli",FALSE,8,5,11,7
"err844077_ms_2",100270,0.333,15,TRUE,"Unknown","Unknown","Unknown","IBD","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","intestinalis",FALSE,7,7,8,105
"f10_node_1_length_96892_cov_1695.602518",96892,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",TRUE,11,4,1,12
"f2m.1.node_1_length_97876_cov_8.385428",97876,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,NA,NA,NA,NA,"Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"f2t1.2.node_1_length_97120_cov_58.884747",97120,0.293,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,NA,NA,NA,NA,"Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"f3t1.2.node_1_length_93869_cov_36.327307",93869,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,NA,NA,NA,NA,"Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"f4_node_1_length_100650_cov_839.811104",100650,0.333,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","intestinalis",TRUE,7,7,8,105
"f4t2.1.node_1_length_94988_cov_32.078160",94988,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,NA,NA,NA,NA,"Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"f5_node_4_length_98190_cov_172.956947",98190,0.333,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"f6_node_4_length_91062_cov_72.306460",91062,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Stockdale_etal_unpublished","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"f7_node_3_length_95675_cov_221.603744",95675,0.332,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Stockdale_etal_unpublished","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"fferm_ms_11",104564,0.361,11,TRUE,"Unknown","Unknown","Unknown","Healthy","Ireland",23,0,"Shkoporov_etal_unpublished","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Lebriduvirus","gastrointestinalis",TRUE,6,9,43,18
"g10_node_3_length_100255_cov_4594.188553",100255,0.325,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Birpovirus","hominis",TRUE,12,10,4,19
"g3_wgs_contig_51_2_length_97737_read_count_6388982",97737,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,0,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"hvcf_a11_ms_1",98883,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_a3_ms_37",97340,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_b1_ms_5",101658,0.358,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"Rudkin_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","coli",FALSE,8,5,11,7
"hvcf_b1_ms_8",92361,0.267,11,TRUE,"Unknown","Unknown","Unknown","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",TRUE,3,3,26,9
"hvcf_b5_ms_2",94533,0.308,11,TRUE,"Unknown","Unknown","Unknown","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","copri",TRUE,2,1,37,25
"hvcf_c7_ms_2",104085,0.362,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,5,1,"Rudkin_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","intestinihominis",TRUE,8,5,11,29
"hvcf_d1_ms_1",96001,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_d10_ms_2",99186,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_d5_ms_2",102521,0.362,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,17,0,"Rudkin_etal_unpublished","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Lebriduvirus","gastrointestinalis",FALSE,6,9,43,18
"hvcf_d5_ms_4",92723,0.321,11,TRUE,"Unknown","Unknown","Unknown","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36
"hvcf_d6_ms_5",98602,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_e10_ms_1",94803,0.288,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_e4_ms_4",104752,0.332,15,TRUE,"Unknown","Unknown","Unknown","Healthy","Ireland",1,1,"Rudkin_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",TRUE,7,7,8,16
"hvcf_e5_ms_1",96989,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_e6_ms_1",97437,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_e8_ms_1",97687,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"hvcf_f2_ms_2",98964,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"long_crass_ms_1",99328,0.335,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Shkoporov_etal_2019","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"long_crass_ms_14",97706,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Shkoporov_etal_2019","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","coli",TRUE,11,4,1,35
"long_crass_ms_15",98591,0.325,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,1,"Shkoporov_etal_2019","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"long_crass_ms_16",91543,0.331,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Shkoporov_etal_2019","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Delmidovirus","copri",FALSE,3,3,24,123
"long_crass_ms_2",99084,0.293,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Shkoporov_etal_2019","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"long_crass_ms_29",101638,0.362,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,17,0,"Shkoporov_etal_2019","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Lebriduvirus","gastrointestinalis",FALSE,6,9,43,18
"long_crass_ms_3",84519,0.262,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"Shkoporov_etal_2019","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kahucivirus","intestinalis",FALSE,5,6,38,127
"long_crass_ms_5",95584,0.327,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Shkoporov_etal_2019","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"long_crass_ms_9",91714,0.249,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Shkoporov_etal_2019","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Endlipuvirus","intestinihominis",TRUE,3,3,28,17
