"","length","GCcomp","trans_tbl","circular","CRISPR_hit","Genus","Species","Health_status","Location","tRNA_freq","tmRNA_freq","Study","Habitat","family","nomen_family","nomen_subfamily","nomen_genus","nomen_species","type_strain","clusters_ward","clusters_pam","orthologs_shared_clusters","ani_clusters","ncbi_acc","exemplar"
"ERR589797_NODE_186_length_98680_cov_52.1986",98680,0.323,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buorbuivirus",NA,FALSE,7,7,10,68,NA,NA
"ERR589800_NODE_173_length_93705_cov_28.9131",93705,0.329,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"ERR589801_NODE_173_length_98624_cov_58.2029",98624,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR589802_NODE_149_length_99518_cov_80.1538",99518,0.33,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,15,NA,NA
"ERR589804_NODE_183_length_96082_cov_14.9851",96082,0.327,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"ERR589807_NODE_175_length_98624_cov_2094.64",98624,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR589811_NODE_183_length_95797_cov_1140.66",95797,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR589813_NODE_172_length_99988_cov_9.80768",99988,0.316,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus",NA,FALSE,11,4,1,96,NA,NA
"ERR589813_NODE_178_length_98616_cov_51.5115",98616,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR589814_NODE_185_length_102005_cov_6.51113",102005,0.331,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",FALSE,7,7,8,16,NA,NA
"ERR589814_NODE_202_length_96800_cov_8.20071",96800,0.329,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buorbuivirus",NA,FALSE,7,7,10,78,NA,NA
"ERR589817_NODE_85_length_101984_cov_21.9381",101984,0.334,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","faecalis",FALSE,10,8,22,77,NA,NA
"ERR589817_NODE_92_length_99114_cov_8.98563",99114,0.329,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buorbuivirus",NA,FALSE,7,7,10,78,NA,NA
"ERR589818_NODE_123_length_100672_cov_68.5318",100672,0.33,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23,NA,NA
"ERR589821_NODE_65_length_97126_cov_5571.81",97126,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR589826_NODE_104_length_99479_cov_523.136",99479,0.29,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR589826_NODE_120_length_94996_cov_27.1679",94996,0.33,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"ERR589826_NODE_133_length_91808_cov_9.52867",91808,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"ERR589827_NODE_122_length_98326_cov_41.0203",98326,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR589829_NODE_91_length_101338_cov_9.01626",101338,0.333,15,TRUE,"Bacteroides_thetaiotaomicron","Bacteroides","thetaiotaomicron",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus",NA,FALSE,7,7,8,97,NA,NA
"ERR589831_NODE_127_length_97341_cov_28.7607",97341,0.332,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,15,NA,NA
"ERR589835_NODE_174_length_96977_cov_65.8124",96977,0.313,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,2,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12,NA,NA
"ERR589835_NODE_192_length_92466_cov_11.6977",92466,0.316,11,TRUE,"Alistipes_finegoldii","Alistipes","finegoldii",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"ERR589836_NODE_113_length_104455_cov_284.662",104455,0.365,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus",NA,FALSE,8,5,11,70,NA,NA
"ERR589836_NODE_124_length_100491_cov_5.94573",100491,0.375,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,16,0,"Tong_etal_2020","Human oral","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","oralis",FALSE,6,9,40,85,NA,NA
"ERR589836_NODE_132_length_97990_cov_15.6475",97990,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR589843_NODE_134_length_102073_cov_9.78706",102073,0.337,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10,NA,NA
"ERR589848_NODE_158_length_99263_cov_37.5295",99263,0.329,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23,NA,NA
"ERR589848_NODE_206_length_90462_cov_52.7397",90462,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"ERR589851_NODE_110_length_101537_cov_76.3839",101537,0.375,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,22,0,"Tong_etal_2020","Human oral","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","oralis",FALSE,6,9,40,85,NA,NA
"ERR589852_NODE_269_length_93435_cov_9.78746",93435,0.335,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"ERR589853_NODE_110_length_92253_cov_12.0089",92253,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"ERR589856_NODE_160_length_99420_cov_996.622",99420,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,2,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12,NA,NA
"ERR589858_NODE_148_length_100421_cov_4.84912",100421,0.326,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,66,NA,NA
"ERR589861_NODE_167_length_96714_cov_11.2032",96714,0.322,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36,NA,NA
"ERR589874_NODE_149_length_91639_cov_83.8167",91639,0.266,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",FALSE,3,3,26,9,NA,NA
"ERR843931_ms_1",94475,0.322,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","IBD","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","secundus",FALSE,4,13,36,98,NA,NA
"ERR843936_ms_1",92913,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR843949_ms_1",99735,0.32,11,TRUE,"Bacteroides_helcogenes","Bacteroides","helcogenes","Healthy","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Culoivirus","intestinalis",FALSE,10,8,21,55,NA,NA
"ERR843949_ms_3",92352,0.315,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",4,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Diorhovirus","copri",FALSE,3,3,25,49,NA,NA
"ERR843983_ms_1",98411,0.29,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","IBD","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR844006_ms_1",94558,0.289,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","IBD","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","hominis",FALSE,1,2,23,99,NA,NA
"ERR844016_ms_1",100408,0.329,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","USA",3,0,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus","americanus",FALSE,7,7,9,53,NA,NA
"ERR844018_ms_1",95525,0.293,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR844018_ms_3",89735,0.267,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",FALSE,3,3,26,9,NA,NA
"ERR844025_ms_1",96790,0.322,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Culoivirus","intestinalis",FALSE,10,8,21,55,NA,NA
"ERR844029_ms_3",97537,0.378,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",22,0,"Norman_etal_2015","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","oralis",FALSE,6,9,40,85,NA,NA
"ERR844030_ms_1",100426,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","Healthy","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"ERR844030_ms_2",98528,0.344,11,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",17,0,"Norman_etal_2015","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus",NA,FALSE,6,9,40,100,NA,NA
"ERR844035_ms_1",101538,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","Healthy","USA",1,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"ERR844040_ms_1",89339,0.305,11,TRUE,"Bacteroides_fragilis","Bacteroides","fragilis","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Delmidovirus",NA,FALSE,3,3,24,14,NA,NA
"ERR844045_ms_1",98332,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","Healthy","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"ERR844046_ms_1",100476,0.327,15,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",4,0,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,101,NA,NA
"ERR844047_ms_3",96499,0.327,15,TRUE,"Unknown","Unknown","Unknown","Healthy","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23,NA,NA
"ERR844054_ms_1",97296,0.325,15,TRUE,"Unknown","Unknown","Unknown","IBD","USA",3,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,102,NA,NA
"ERR844065_ms_1",97900,0.345,11,TRUE,"Unknown","Unknown","Unknown","IBD","USA",12,0,"Norman_etal_2015","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kolpuevirus",NA,FALSE,6,9,42,103,NA,NA
"ERR844067_ms_2",92272,0.334,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","IBD","USA",0,0,"Norman_etal_2015","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Drivevirus",NA,FALSE,3,3,27,88,NA,NA
"ERR844070_ms_2",104338,0.358,15,TRUE,"Unknown","Unknown","Unknown","IBD","USA",3,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","coli",FALSE,8,5,11,7,NA,NA
"ERR844077_ms_1",100965,0.312,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei","IBD","USA",1,0,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus",NA,FALSE,11,4,1,104,NA,NA
"ERR844077_ms_2",100270,0.333,15,TRUE,"Unknown","Unknown","Unknown","IBD","USA",2,1,"Norman_etal_2015","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","intestinalis",FALSE,7,7,8,105,NA,NA
"F10_NODE_1_length_96892_cov_1695.602518",96892,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",TRUE,11,4,1,12,"MZ130492","uncultured phage cr12_1"
"F2M.1.NODE_1_length_97876_cov_8.385428",97876,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,NA,NA,NA,NA,"Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"F2T1.2.NODE_1_length_97120_cov_58.884747",97120,0.293,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,NA,NA,NA,NA,"Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"F3T1.2.NODE_1_length_93869_cov_36.327307",93869,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,NA,NA,NA,NA,"Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"F4_NODE_1_length_100650_cov_839.811104",100650,0.333,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","intestinalis",TRUE,7,7,8,105,"MZ130493","uncultured phage cr105_1"
"F4T2.1.NODE_1_length_94988_cov_32.078160",94988,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,NA,NA,NA,NA,"Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"F5_NODE_4_length_98190_cov_172.956947",98190,0.333,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10,NA,NA
"F6_NODE_4_length_91062_cov_72.306460",91062,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Stockdale_etal_unpublished","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"F7_NODE_3_length_95675_cov_221.603744",95675,0.332,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Stockdale_etal_unpublished","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"Fferm_ms_11",104564,0.361,11,TRUE,"Unknown","Unknown","Unknown","Healthy","Ireland",23,0,"Shkoporov_etal_unpublished","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Lebriduvirus","gastrointestinalis",TRUE,6,9,43,18,"MZ130485","uncultured phage cr18_1"
"G10_NODE_3_length_100255_cov_4594.188553",100255,0.325,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Birpovirus","hominis",TRUE,12,10,4,19,"MZ130494","uncultured phage cr19_1"
"G3_WGS_contig_51_2_length_97737_read_count_6388982",97737,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,0,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"HvCF_A11_ms_1",98883,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_A3_ms_37",97340,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_B1_ms_5",101658,0.358,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"Rudkin_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","coli",FALSE,8,5,11,7,NA,NA
"HvCF_B1_ms_8",92361,0.267,11,TRUE,"Unknown","Unknown","Unknown","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",TRUE,3,3,26,9,"MZ130486","uncultured phage cr9_1"
"HvCF_B5_ms_2",94533,0.308,11,TRUE,"Unknown","Unknown","Unknown","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","copri",TRUE,2,1,37,25,"MZ130487","uncultured phage cr25_1"
"HvCF_C7_ms_2",104085,0.362,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,5,1,"Rudkin_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","intestinihominis",TRUE,8,5,11,29,"MZ130497","uncultured phage cr29_1"
"HvCF_D1_ms_1",96001,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_D10_ms_2",99186,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_D5_ms_2",102521,0.362,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,17,0,"Rudkin_etal_unpublished","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Lebriduvirus","gastrointestinalis",FALSE,6,9,43,18,NA,NA
"HvCF_D5_ms_4",92723,0.321,11,TRUE,"Unknown","Unknown","Unknown","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36,NA,NA
"HvCF_D6_ms_5",98602,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_E10_ms_1",94803,0.288,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_E4_ms_4",104752,0.332,15,TRUE,"Unknown","Unknown","Unknown","Healthy","Ireland",1,1,"Rudkin_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",TRUE,7,7,8,16,"MZ130498","uncultured phage cr16_1"
"HvCF_E5_ms_1",96989,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_E6_ms_1",97437,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_E8_ms_1",97687,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"HvCF_F2_ms_2",98964,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","Healthy","Ireland",0,0,"Rudkin_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"Kang_0009_ST002_A_NODE_5_length_78802_cov_612.463268",78802,0.405,11,TRUE,"Eubacterium_eligens","Eubacterium","eligens",NA,NA,3,0,"Gregory_etal_2019","Human gut","Marine_1","Marine_1","Marine_1",NA,NA,FALSE,15,14,NA,339,NA,NA
"Kang_0027_ST003_A_NODE_14_length_106401_cov_331.394947",106401,0.41,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Gregory_etal_2019","Human gut","Marine_1","Marine_1","Marine_1",NA,NA,FALSE,15,14,NA,323,NA,NA
"Kang_0057_ST001_N_NODE_41_length_50950_cov_300.984969",50950,0.322,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,0,"Gregory_etal_2019","Human gut","Marine_1","Marine_1","Marine_1",NA,NA,FALSE,15,14,NA,306,NA,NA
"Kramna_8014_NODE_1_length_86568_cov_1205.650006",86568,0.346,11,TRUE,"Bacteroides_vulgatus","Bacteroides","vulgatus",NA,NA,0,0,"Gregory_etal_2019","Human gut","Marine_1","Marine_1","Marine_1",NA,NA,FALSE,15,14,NA,325,NA,NA
"Kramna_8050_NODE_1_length_101977_cov_494.593140",101977,0.323,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Gregory_etal_2019","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Birpovirus",NA,FALSE,12,10,4,122,NA,NA
"Long_crAss_ms_1",99328,0.335,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Shkoporov_etal_2019","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10,NA,NA
"Long_crAss_ms_14",97706,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Shkoporov_etal_2019","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","coli",TRUE,11,4,1,35,"MZ130499","uncultured phage cr35_1"
"Long_crAss_ms_15",98591,0.325,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,1,"Shkoporov_etal_2019","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"Long_crAss_ms_16",91543,0.331,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Shkoporov_etal_2019","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Delmidovirus","copri",FALSE,3,3,24,123,NA,NA
