"","Gp20"
"686","QOR58868.1"
"687","QOR58779.1"
"688","QOR58712.1"
"689","QOR58646.1"
"690","QOR58470.1"
"691","QOR58432.1"
"692","QOR58271.1"
"693","QOR58190.1"
"694","QOR58089.1"
"695","QOR57995.1"
"696","QOR57863.1"
"697","QOR57815.1"
"698","QOR57726.1"
"699","QOR57646.1"
"700","QOR57572.1"
"701","QOR57492.1"
"702","QOR57422.1"
"703","QOR57346.1"
"704","QOR57195.1"
"705","QOR57166.1"
"706","QOR57011.1"
"707","QOR56933.1"
"708","QOR56881.1"
"709","QOR56731.1"
"710","QOR56706.1"
"711","YP_009981725.1"
"712","YP_009910760.1"
"713","BAX03437.1"
"714","AXF52194.1"
"715","AXH74534.1"
"716","QAU03843.1"
"717","QIG59120.1"
"718","QIN93318.1"
"719","QIN96214.1"
"720","QIN96332.1"
"721","QOR56368.1"
"722","QOR56447.1"
"723","QOR56527.1"
"724","QOR56607.1"
"725","YP_008242317.1"
"726","YP_009052553.1"
